"Reference","Value","Manufacturer","LCSC part"
"C3","100nF","Samsung Electro-Mechanics","C1591"
"C4","100uF/10V","Kemet","C122271"
"C5","100nF","Samsung Electro-Mechanics","C1591"
"C6","10uF","Samsung Electro-Mechanics","C19702"
"C7","100nF","Samsung Electro-Mechanics","C1591"
"C8","22uF/16V","Kyocera AVX","C11376"
"C9","100uF/10V","Kemet","C122271"
"D1","12V Ok","XINGLIGHT","C965808"
"D2","LED_GBRK","TOGIALED","C273611"
"D4","DSS34","Jiangsu Changjing Electronics Technology Co., Ltd.","C2923958"
"D5","XL-1608UOC-06","Yongyu Photoelectric","C434425"
"D6","DSS34","Jiangsu Changjing Electronics Technology Co., Ltd.","C2923958"
"D7","XL-1608UOC-06","Yongyu Photoelectric","C434425"
"D8","DSS34","Jiangsu Changjing Electronics Technology Co., Ltd.","C2923958"
"D9","XL-1608UOC-06","Yongyu Photoelectric","C434425"
"D10","DSS34","Jiangsu Changjing Electronics Technology Co., Ltd.","C2923958"
"D11","XL-1608UOC-06","Yongyu Photoelectric","C434425"
"J2","USB_C_Receptacle_USB2.0","SHOU HAN","C3151749"
"Q2","LMBT3904DW1T1G","LRC","C131781"
"Q3","IRLML2502","UMW","C347503"
"Q4","IRLML2502","UMW","C347503"
"Q5","IRLML2502","UMW","C347503"
"Q6","IRLML2502","UMW","C347503"
"R1","1k-5%","FOJAN","C2907113"
"R2","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R3","1k-5%","FOJAN","C2907113"
"R4","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R5","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R7","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R8","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R9","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R10","100","FOJAN","C2907089"
"R11","1k-5%","FOJAN","C2907113"
"R12","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R13","100","FOJAN","C2907089"
"R14","1k-5%","FOJAN","C2907113"
"R15","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R16","100","FOJAN","C2907089"
"R17","100","FOJAN","C2907089"
"R18","100","FOJAN","C2907089"
"R19","1k-5%","FOJAN","C2907113"
"R20","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"R21","100","FOJAN","C2907089"
"R22","1k-5%","FOJAN","C2907113"
"R23","10k-5%","UNI-ROYAL(Uniroyal Elec)","C25804"
"U1","TLV75733PDBV","Texas Instruments","C485517"
"U2","ESP32-WROOM-32U","Espressif","C328062"
"U3","CH9102F","WCH(Jiangsu Qin Heng)","C2858418"
"U4","EL357","Everlight Elec","C42381015"
"U5","EL357","Everlight Elec","C42381015"
"U6","EL357","Everlight Elec","C42381015"
"U7","EL357","Everlight Elec","C42381015"
"U101","LD1086DT33TR","STMicroelectronics","C12051"
