Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C5, C7",0603,3,100nF,
"C4, C9",CP_EIA-3528-21_Kemet-B,2,100uF/10V,
C6,0603,1,10uF,
C8,CP_EIA-6032-20_AVX-F,1,22uF/16V,
D1,0603,1,12V Ok,
"D10, D4, D6, D8",C2923958_DSS34_SOD-123FL,4,DSS34,
"D11, D5, D7, D9",0603,4,XL-1608UOC-06,
D2,C273611_RGB_Led_0606,1,LED_GBRK,
J2,C3151749_USB_TYPE-C_Vertical,1,USB_C_Receptacle_USB2.0,
J6,TerminalBlock_RND_205-00238_1x08_P5.08mm_Horizontal,1,Screw_Terminal_01x08,
J7,TerminalBlock_RND_205-00239_1x09_P5.08mm_Horizontal,1,Screw_Terminal_01x09,
"K1, K2, K3, K4",C225715_Omron-G5Q,4,G5Q-1,
PS1,C209905_HLK-PM12_mod,1,HLK-PM12,
Q2,SOT-363_SC-70-6,1,LMBT3904DW1T1G,
"Q3, Q4, Q5, Q6",SOT-23,4,IRLML2502,
"R1, R11, R14, R19, R22, R3",0603,6,1k-5%,
"R10, R13, R16, R17, R18, R21",0603,6,100,
"R12, R15, R2, R20, R23, R4, R5, R7, R8, R9",0603,10,10k-5%,
U1,SOT-23-5,1,TLV75733PDBV,
U101,TO-252-2,1,LD1086DT33TR,
U2,ESP32-WROOM-32U,1,ESP32-WROOM-32U,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CH9102F,
"U4, U5, U6, U7",C42381015_EL357_L4.4-W4.1-P2.54-LS7.0-TL,4,EL357,
