Designator,Mid X,Mid Y,Rotation,Layer
C3,1.625,48.38,0.0,top
C4,1.68,42.7925,90.0,top
C5,1.63,74.29,0.0,top
C6,1.63,71.2,0.0,top
C7,1.625,72.75,0.0,top
C8,24.915,51.895,0.0,top
C9,26.2475,71.57,0.0,top
D1,39.1075,36.53,180.0,top
D10,43.26,36.46,180.0,top
D11,23.570003,46.687475,90.0,top
D2,22.828,68.3966,180.0,top
D4,6.87,36.47,180.0,top
D5,4.15,46.6675,90.0,top
D6,15.96,36.5,180.0,top
D7,10.600003,46.659975,90.0,top
D8,31.655,36.47,180.0,top
D9,17.079994,46.669975,90.0,top
J2,3.700025,80.199936,90.0,top
J6,27.46,80.12,180.0,top
J7,24.92,6.09,0.0,top
Q2,13.335,71.98,0.0,top
Q3,2.1975,37.01,180.0,top
Q4,11.3425,37.03,180.0,top
Q5,20.8925,37.04,180.0,top
Q6,26.5225,37.04,180.0,top
R1,35.935,36.53,0.0,top
R10,8.205,48.409975,0.0,top
R11,3.275,39.52,180.0,top
R12,4.17,41.915,270.0,top
R13,13.975,48.4,180.0,top
R14,10.599997,40.39995,270.0,top
R15,10.599994,43.49495,270.0,top
R16,22.77,72.06,90.0,top
R17,18.59,72.21,0.0,top
R18,20.755,48.4,180.0,top
R19,17.079997,40.399975,270.0,top
R2,1.61,46.1,0.0,top
R20,17.079994,43.49495,270.0,top
R21,27.245,48.410025,180.0,top
R22,23.570003,40.41,270.0,top
R23,23.570003,43.514975,270.0,top
R3,22.85,66.29,180.0,top
R4,16.105,74.3,0.0,top
R5,19.695,74.29,180.0,top
R7,12.535,74.3,180.0,top
R8,10.73,71.95,270.0,top
R9,1.625,69.65,0.0,top
U1,26.26,67.6025,90.0,top
U101,24.895,60.585,90.0,top
U2,9.875,59.05,90.0,top
U3,6.03,72.4125,0.0,top
U4,7.349994,43.199975,270.0,top
U5,13.819997,43.20995,270.0,top
U6,20.309997,43.199975,270.0,top
U7,26.8,43.2,270.0,top
